number,air_pressure_9am,air_temp_9am,avg_wind_direction_9am,avg_wind_speed_9am,max_wind_direction_9am,max_wind_speed_9am,rain_accumulation_9am,rain_duration_9am,relative_humidity_9am,relative_humidity_3pm
110,922.7114407,47.52111016,198.5919491,6.11125373,215.4258051,7.451948553,0,0,50.75183903,22.18990678
111,915.29,58.82,182.6,15.6138412,189,,0,0,21.5,29.69
112,916.45,62.654,193.7,3.5343652,208.8,4.4291412,0,0,47.43,44.8
113,922.88,53.744,186.9,2.8185444,223.2,3.6685816,0,0,28.68,48.03
114,915.1,47.138,189.8,3.8922756,215.5,5.480503,0,0,72.29,83.17
115,918.29,75.236,210.9,2.3040482,232.8,2.9751302,0,0,35.96,43.37
116,919.5613327,69.16552065,137.1448756,1.382894185,123.0190307,2.031606785,0,0,15.93544664,16.65085284
117,917.3973494,79.24467791,97.26776438,1.110306816,95.5933601,1.542676075,0,0,13.36818385,17.3342963
118,918.2,65.984,172.5,2.8856526,210.3,3.7580592,0,0,13.85,29.86
119,915.17,51.17,235.3,1.565858,237.4,2.4158952,0,0,89.85,64.52
120,920.7,76.172,190.9,6.263432,199.6,7.270055,0,0,35.85,28.18
121,920.59,75.002,89.7,1.1632088,91.1,1.789552,0,0,13.92,16.68
122,918.32,74.732,239.5,2.0579848,273.4,3.019869,0,0,27.48,33.81
123,920.18,62.744,32.6,3.019869,51.3,3.8251674,0,0,45.21,52.1
124,913.61,79.628,180.5,3.2659324,187.9,3.7580592,0,0,12.76,36.69
125,923.3172954,70.34564733,194.7326523,4.181992575,219.3140312,5.402380134,0,0,18.35525613,19.04826571
126,917.69,75.038,79.7,3.131716,82.8,4.8317904,0,0,48.53,48.81
127,923.3242454,57.18647316,44.70418577,9.994809533,66.6391055,12.92188913,0,0,17.44536238,19.67626147
128,916.04,88.844,176,1.4092722,112.8,2.1922012,0,0,7.37,26.94
129,923.485042,68.45261063,38.37667759,4.671545946,64.92977632,6.483996384,0,0,18.39975068,17.42827468
130,916.5,76.928,159.1,1.2974252,206.2,1.9237684,0,0,42.52,49.75
131,918,66.866,198.4,2.684328,210.8,3.2659324,0,0,62.27,70.44
132,916.27,71.726,189.5,12.2136924,194.9,13.4440094,0,0,16.09,29.09
133,919.61,70.25,119.4,3.4001488,162.6,5.0778538,0,0,19.64,16.03
134,920.201586,57.81023706,80.48035523,5.38511667,93.97028884,7.435259553,0,0,14.3792334,13.26699768
135,918.8,48.416,24.8,2.0579848,60.1,2.9527608,0,0,65.12,47.71
136,921.6348996,65.89729045,73.48641858,3.016972003,93.28223484,4.018967337,0,0,10.72026911,16.08178178
137,919.08,72.752,166,2.460634,198.9,3.131716,0,0,41.95,59.69
138,913.06,64.814,139.9,1.1855782,184,1.9461378,0,0,60.8,73.05
139,921.9332984,64.61826922,73.21344511,3.815591981,92.03319361,4.733501,0,0,12.2849738,15.88708044
140,917.21,75.416,173.5,2.3040482,194.5,3.1540854,0,0,48.57,45.61
141,923.8315596,50.00212297,198.8891603,5.9064336,215.506795,7.165717543,0,0,39.93988672,21.35258533
142,921.1862235,71.20382278,214.2489384,1.690793397,173.3888784,2.673681467,0,0,17.10315068,24.37743921
143,915.56,57.308,180,9.4846256,185.1,10.3794016,0,0,37.21,65.04
144,918.77,68.648,160.3,2.1474624,198.4,2.9527608,0,0,34.08,63.1
145,914.97,73.688,188.2,2.2593094,186.6,3.0646078,0,0,40.98,54.09
146,924.722875,61.12808283,40.67343578,8.576565466,65.42982736,11.44865044,0,0,17.20774274,20.33369723
147,916.79,76.424,186.4,2.3935258,190.2,3.2883018,0,0,33.11,43.63
148,916.55,57.956,174.4,3.131716,195,4.0712308,0,0,60.46,47.16
149,919.66,66.92,105.4,2.2145706,147,3.1988242,0,0,28.14,22.72
150,923.1877827,56.53274375,50.09369378,7.695570649,56.99795789,9.427236293,0,0,13.49691652,14.58642281
151,916.55,53.51,205.8,3.802798,226.1,4.9436374,0.01,10,84.48,67.46
152,917.22,79.952,52.8,3.6014734,68.6,4.585727,0,0,23.25,44.27
153,919.9,56.048,58.8,3.8699062,70.3,4.5409882,0,0,18.95,23.51
154,921.7,53.564,48.2,5.256809,64.4,6.8002976,0,0,19.89,22.93
155,919.27,50.054,37.8,2.9303914,63.9,3.9593838,0,0,70.76,62.58
156,926.1773682,66.06856811,56.82077877,16.99667398,69.30130963,20.49697829,0,0,14.58678058,12.05463897
157,921.5741147,75.25061053,225.3022069,1.963296053,251.3447767,2.648661988,0.035743013,268.0726009,43.52907512,19.1003094
158,918.32,55.454,47.9,6.4647566,63.6,7.8516594,0,0,24.28,22.86
159,915.7,56.534,143.5,1.6329662,174,2.1698318,0,0,81.99,74.95
160,921.507308,73.19115622,165.5487395,3.390924927,206.1791945,5.577992393,0,0,13.80796287,13.83993332
161,917.6,47.66,204,1.6105968,183.2,2.23694,0,0,89.84,75.42
162,920.77,70.718,181,4.4067718,188.2,5.0778538,0,0,13.16,17.4
163,915.6968387,86.23975056,234.1895664,1.742951989,125.5030256,2.503003987,0,0,8.810402446,17.02234251
164,913.7,64.886,185.9,3.467257,197,4.0936002,0,0,38.22,40.37
165,921.2110659,59.81076306,55.303143,17.89629188,76.74202225,23.43976847,0,8.213187173,8.762945026,7.443641852
166,920.9,60.314,214.5,2.3040482,239.3,2.8856526,0,0,62.44,55.78
167,918.7138944,65.21846162,65.723783,5.723355288,79.36463343,7.095593332,0,0,18.6347566,19.47085631
168,917.7062236,81.45133349,121.8818116,1.734641613,83.95062116,2.427703597,0,0,15.90510835,19.52840871
169,919.6,46.922,205.6,16.2401844,214.7,18.0521058,0.03,293,91.34,88.7
170,925.96,56.966,51.7,17.8731506,66.3,22.2799224,0,10,15.36,19.68
171,918.98,78.944,268,1.565858,241.1,2.1027236,0,0,36.35,37.25
172,917.7,74.786,40.2,6.6660812,59.5,8.2990474,0,0,22.33,23.8
173,919.9030809,55.96469778,48.10559492,8.828660563,64.13454679,11.03419158,0,0,20.43537504,22.67496457
174,923.61,58.406,47.7,10.6030956,67.1,13.6229646,0,0,17.98,16.45
175,915.15,84.236,203.6,1.11847,212.6,1.8342908,0,0,35.47,31.64
176,922.17,56.696,48.4,12.2136924,64.9,15.5914718,0,0,14.93,22.41
177,915.9,,183.3,4.7199434,189.9,5.3462866,0,0,29.26,46.5
178,918.4,60.926,189.3,5.1897008,195.6,5.6818276,0,0,13.16,25.11
179,919.4779271,68.06004299,47.04658845,10.56738329,64.8812473,13.6928726,0,6.534115493,9.374424197,11.54199692
180,916.1,51.224,199.9,3.2659324,220.1,4.026492,0,0,88.43,61.12
181,915.63,72.356,165.3,3.802798,179,5.256809,0,0,52.34,48.98
182,919,61.25,182.2,5.6147194,191.5,6.7331894,0,0,32.16,41.2
183,916.8176734,84.28745579,208.1183495,1.892737962,108.3191396,3.085170344,0,0,13.6867076,15.09523265
184,914.98,84.362,178.4,1.4316416,209.3,1.9685072,0,0,37.64,35.52
185,918.8767448,77.0837053,183.3776772,4.324869059,193.009675,5.06360032,0,0,10.07382203,9.449291931
186,916.5,71.042,102.3,2.4158952,49.1,3.2211936,0,0,49.01,52.97
187,922.1878752,56.86397406,48.38159909,12.29836798,64.9026287,15.68908393,0,0,14.94945239,22.20154393
188,922.57,69.368,193.5,2.6395892,220.2,3.6014734,0,0,19.95,19.68
189,924.14,55.562,222.4,3.243563,239.7,4.0488614,0.01,140,90.66,90.21
190,919.74,57.506,212.9,1.9685072,245.8,2.8185444,0,0,37.44,65.96
191,924.05,47.246,47.9,13.980875,68.3,17.8507812,0,20,16.71,13.27
192,920.59,42.62,163.8,5.256809,186.2,6.9121446,1.53,4310,36.79,23.75
193,917.8,66.002,157,2.2816788,180.9,3.3106712,0,0,32.06,52.51
194,919.36,48.74,280.9,2.5277422,274.8,3.6685816,0,70,90.7,70.32
195,918.3914977,73.16857813,181.7207583,1.63004495,185.8775567,2.24738385,0,0,11.81458456,18.27291835
196,911.7,47.804,190.1,3.3106712,217.7,4.0712308,0,0,90.09,54.37
197,920.93,75.434,40.2,2.1474624,65.1,2.9751302,0,0,15.09,14.61
198,922.698232,60.27479795,137.9249417,3.300545669,147.139294,5.146777719,0,0,19.8183735,19.60693827
